l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
3,218,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,11,2,4,,two-group
3,266,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,10,4,1,,two-group
3,341,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CS,10,1,3,,two-group
3,347,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,11,2,3,,two-group
3,378,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,11,1,5,,two-group
3,441,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,11,1,4,,two-group
3,522,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,11,4,1,,two-group
3,693,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CS,11,1,3,,two-group
3,14,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",13,,2xCCZ,7,,,3+3,symmetry-free
3,24,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS,8,1,5,,two-group
3,24,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",9,,3xCS,8,,,2+2+2,symmetry-free
3,26,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,9,2,5,,two-group
3,26,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,T+CS+CCZ,9,,,3+2+1,symmetry-free
3,28,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",8,,2xT+2xCS,9,,,2+2+1+1,symmetry-free
3,42,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,9,,,1+1+1+1+1+1,symmetry-free
3,56,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS,9,1,5,,two-group
3,58,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,10,2,5,,two-group
3,105,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,10,1,6,,two-group
3,106,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,11,2,6,,two-group
3,120,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS,10,1,5,,two-group
3,122,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,11,2,5,,two-group
3,124,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ,9,4,1,,two-group
3,154,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T+CS,9,1,3,,two-group
3,170,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,10,2,3,,two-group
3,195,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ,10,1,4,,two-group
3,196,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ,11,2,4,,two-group
3,217,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,11,1,6,,two-group
3,248,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS,11,1,5,,two-group
3,260,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ,10,4,1,,two-group
3,330,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T+CS,10,1,3,,two-group
3,346,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,6xT,11,2,3,,two-group
3,403,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ,11,1,4,,two-group
3,516,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ,11,4,1,,two-group
3,682,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T+CS,11,1,3,,two-group
3,56,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,7xT,10,1,7,,two-group
3,57,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,7xT,11,2,7,,two-group
3,120,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,7xT,11,1,7,,two-group
3,132,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ,9,1,3,,two-group
3,135,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ,11,1,6,,two-group
3,168,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ,10,2,3,,two-group
3,225,7,2,2,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CS,11,1,5,,two-group
3,308,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ,10,1,3,,two-group
3,344,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ,11,2,3,,two-group
3,660,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ,11,1,3,,two-group
