l,N,k,d,output_degree,output_gate
3,187,5,2,deg1,T
3,188,4,2,deg1,T
3,189,2,2,deg1,T
3,190,2,2,deg1,T
3,195,6,2,deg3,CCZ
3,196,4,2,deg1,T
3,196,6,2,deg3,CCZ
3,217,5,2,deg3,CCZ
3,217,6,2,deg1,T
3,218,5,2,deg3,CCZ
3,225,7,2,deg2,CS
3,244,7,2,deg2,CS
3,248,3,2,deg3,CCZ
3,248,4,2,deg3,CCZ
3,248,6,2,deg3,CCZ
3,252,2,2,deg2,CS
3,252,3,2,deg1,T
3,252,3,2,deg3,CCZ
3,253,3,2,deg1,T
3,254,1,2,deg1,T
3,254,2,2,deg1,T
3,255,1,3,deg1,T
3,260,6,2,deg3,CCZ
3,266,5,2,deg3,CCZ
3,268,4,2,deg1,T
3,269,3,2,deg1,T
3,270,2,2,deg1,T
3,271,1,3,deg1,T
3,277,3,2,deg1,T
3,279,4,2,deg3,CCZ
3,280,4,2,deg3,CCZ
3,308,7,2,deg3,CCZ
3,315,3,2,deg3,CCZ
3,315,4,2,deg1,T
3,316,3,2,deg3,CCZ
3,316,4,2,deg1,T
3,330,6,2,deg3,CCZ
3,341,5,2,deg2,CS
3,344,7,2,deg3,CCZ
3,346,6,2,deg1,T
3,347,5,2,deg1,T
3,378,4,2,deg3,CCZ
3,378,5,2,deg1,T
3,380,4,2,deg1,T
3,381,2,2,deg1,T
3,382,2,2,deg1,T
3,403,6,2,deg3,CCZ
3,406,2,2,deg1,T
3,435,7,2,deg2,CS
3,441,5,2,deg3,CCZ
3,500,7,2,deg2,CS
3,504,3,2,deg3,CCZ
3,504,4,2,deg3,CCZ
3,508,2,2,deg2,CS
3,508,3,2,deg1,T
3,508,3,2,deg3,CCZ
3,509,3,2,deg1,T
3,510,1,2,deg1,T
3,510,2,2,deg1,T
3,511,1,3,deg1,T
3,516,6,2,deg3,CCZ
3,522,5,2,deg3,CCZ
3,524,4,2,deg1,T
3,525,3,2,deg1,T
3,526,2,2,deg1,T
3,527,1,3,deg1,T
3,567,4,2,deg3,CCZ
3,568,4,2,deg3,CCZ
3,635,3,2,deg3,CCZ
3,635,4,2,deg1,T
3,636,3,2,deg3,CCZ
3,660,7,2,deg3,CCZ
3,682,6,2,deg3,CCZ
3,693,5,2,deg2,CS
3,762,4,2,deg3,CCZ
3,765,2,2,deg1,T
3,766,2,2,deg1,T
3,1016,3,2,deg3,CCZ
3,1016,4,2,deg3,CCZ
3,1020,2,2,deg2,CS
3,1020,3,2,deg1,T
3,1020,3,2,deg3,CCZ
3,1022,1,2,deg1,T
3,1022,2,2,deg1,T
3,1023,1,3,deg1,T
3,1143,4,2,deg3,CCZ
3,1275,3,2,deg3,CCZ
