l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
3,56,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS012345(5 terms),9,1,5,,two-group
3,58,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,10,2,5,,two-group
3,105,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,10,1,6,,two-group
3,106,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,11,2,6,,two-group
3,120,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS012345(5 terms),10,1,5,,two-group
3,122,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,11,2,5,,two-group
3,124,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ014+CCZ023+CCZ123+CCZ124,9,4,1,,two-group
3,154,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS01245(4+1 terms)+T3,9,1,3,,two-group
3,170,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,10,2,3,,two-group
3,195,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ014+CCZ023+CCZ123+CCZ124,10,1,4,,two-group
3,196,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ014+CCZ023+CCZ123+CCZ124,11,2,4,,two-group
3,217,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,11,1,6,,two-group
3,248,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS012345(5 terms),11,1,5,,two-group
3,260,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ014+CCZ023+CCZ123+CCZ124,10,4,1,,two-group
3,330,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS01245(4+1 terms)+T3,10,1,3,,two-group
3,346,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,11,2,3,,two-group
3,403,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ014+CCZ023+CCZ123+CCZ124,11,1,4,,two-group
3,516,6,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",11,,CCZ014+CCZ023+CCZ123+CCZ124,11,4,1,,two-group
3,682,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS01245(4+1 terms)+T3,11,1,3,,two-group
3,56,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,T0+T1+T2+T3+T4+T5+T6,10,1,7,,two-group
3,57,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,T0+T1+T2+T3+T4+T5+T6,11,2,7,,two-group
3,120,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,T0+T1+T2+T3+T4+T5+T6,11,1,7,,two-group
3,132,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ0123456(35+21 terms),9,1,3,,two-group
3,135,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ0123456(35+21 terms),11,1,6,,two-group
3,168,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ0123456(35+21 terms),10,2,3,,two-group
3,225,7,2,2,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CS0123456(21+7 terms),11,1,5,,two-group
3,308,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ0123456(35+21 terms),10,1,3,,two-group
3,344,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ0123456(35+21 terms),11,2,3,,two-group
3,660,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,exact T-count decoder only supports k<=6 (uint64 vector packing); this state touches 7 qubits,CCZ0123456(35+21 terms),11,1,3,,two-group
