l,N,k,d,degree,essential_dim,decomposition,n,s_total,s_O,parts,search
4,217,6,2,1,6,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4+sqrtT5,11,1,6,,two-group
4,248,6,2,2,6,CT012345(5 terms),11,1,5,,two-group
4,330,6,2,3,6,CCS012345(14+9+1 terms),10,1,3,,two-group
4,346,6,2,1,6,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4+sqrtT5,11,2,3,,two-group
4,403,6,2,3,6,CCS012345(20 terms),11,1,4,,two-group
4,516,6,2,3,6,CCS012345(20 terms),11,4,1,,two-group
4,682,6,2,3,6,CCS012345(14+9+1 terms),11,1,3,,two-group
4,120,7,2,1,7,sqrtT0+sqrtT1+sqrtT2+sqrtT3+sqrtT4+sqrtT5+sqrtT6,11,1,7,,two-group
4,308,7,2,3,7,CCS0123456(35+21 terms),10,1,3,,two-group
4,344,7,2,3,7,CCS0123456(6+10 terms),11,2,3,,two-group
4,500,7,2,4,6,CCCZ012345(9 terms),11,4,1,,two-group
4,660,7,2,3,7,CCS0123456(35+21 terms),11,1,3,,two-group
